i,section,y_mm,json,flip,y,sub,hemisphere,chunk,acquisition,sample,raw
1,outputs/padded//brain_region_T155_macaque_f001_Mq179-20230428.nii.gz,41.08,outputs/json//brain_region_T155_macaque_f001_Mq179-20230428.json,False,0,f001,L,1,synth,0,outputs/padded//brain_region_T155_macaque_f001_Mq179-20230428.nii.gz
2,outputs/padded//brain_region_T153_macaque_f001_Mq179-20230428.nii.gz,40.06,outputs/json//brain_region_T153_macaque_f001_Mq179-20230428.json,False,51,f001,L,1,synth,51,outputs/padded//brain_region_T153_macaque_f001_Mq179-20230428.nii.gz
3,outputs/padded//brain_region_T151_macaque_f001_Mq179-20230428.nii.gz,39.58,outputs/json//brain_region_T151_macaque_f001_Mq179-20230428.json,False,75,f001,L,1,synth,75,outputs/padded//brain_region_T151_macaque_f001_Mq179-20230428.nii.gz
4,outputs/padded//brain_region_T149_macaque_f001_Mq179-20230428.nii.gz,39.05,outputs/json//brain_region_T149_macaque_f001_Mq179-20230428.json,False,102,f001,L,1,synth,102,outputs/padded//brain_region_T149_macaque_f001_Mq179-20230428.nii.gz
5,outputs/padded//brain_region_T147_macaque_f001_Mq179-20230428.nii.gz,38.56,outputs/json//brain_region_T147_macaque_f001_Mq179-20230428.json,False,126,f001,L,1,synth,126,outputs/padded//brain_region_T147_macaque_f001_Mq179-20230428.nii.gz
6,outputs/padded//brain_region_T144_macaque_f001_Mq179-20230428.nii.gz,38.52,outputs/json//brain_region_T144_macaque_f001_Mq179-20230428.json,False,128,f001,L,1,synth,128,outputs/padded//brain_region_T144_macaque_f001_Mq179-20230428.nii.gz
7,outputs/padded//brain_region_T142_macaque_f001_Mq179-20230428.nii.gz,38.5,outputs/json//brain_region_T142_macaque_f001_Mq179-20230428.json,False,129,f001,L,1,synth,129,outputs/padded//brain_region_T142_macaque_f001_Mq179-20230428.nii.gz
8,outputs/padded//brain_region_T140_macaque_f001_Mq179-20230428.nii.gz,38.0,outputs/json//brain_region_T140_macaque_f001_Mq179-20230428.json,False,154,f001,L,1,synth,154,outputs/padded//brain_region_T140_macaque_f001_Mq179-20230428.nii.gz
9,outputs/padded//brain_region_T138_macaque_f001_Mq179-20230428.nii.gz,37.5,outputs/json//brain_region_T138_macaque_f001_Mq179-20230428.json,False,179,f001,L,1,synth,179,outputs/padded//brain_region_T138_macaque_f001_Mq179-20230428.nii.gz
10,outputs/padded//brain_region_T143_macaque_f001_Mq179-20230428.nii.gz,37.01,outputs/json//brain_region_T143_macaque_f001_Mq179-20230428.json,False,204,f001,L,1,synth,204,outputs/padded//brain_region_T143_macaque_f001_Mq179-20230428.nii.gz
11,outputs/padded//brain_region_T141_macaque_f001_Mq179-20230428.nii.gz,36.5,outputs/json//brain_region_T141_macaque_f001_Mq179-20230428.json,False,229,f001,L,1,synth,229,outputs/padded//brain_region_T141_macaque_f001_Mq179-20230428.nii.gz
12,outputs/padded//brain_region_T139_macaque_f001_Mq179-20230428.nii.gz,36.02,outputs/json//brain_region_T139_macaque_f001_Mq179-20230428.json,False,253,f001,L,1,synth,253,outputs/padded//brain_region_T139_macaque_f001_Mq179-20230428.nii.gz
13,outputs/padded//brain_region_T137_macaque_f001_Mq179-20230428.nii.gz,35.55,outputs/json//brain_region_T137_macaque_f001_Mq179-20230428.json,False,276,f001,L,1,synth,276,outputs/padded//brain_region_T137_macaque_f001_Mq179-20230428.nii.gz
14,outputs/padded//brain_region_T135_macaque_f001_Mq179-20230428.nii.gz,35.04,outputs/json//brain_region_T135_macaque_f001_Mq179-20230428.json,False,302,f001,L,1,synth,302,outputs/padded//brain_region_T135_macaque_f001_Mq179-20230428.nii.gz
15,outputs/padded//brain_region_T133_macaque_f001_Mq179-20230428.nii.gz,34.55,outputs/json//brain_region_T133_macaque_f001_Mq179-20230428.json,False,326,f001,L,1,synth,326,outputs/padded//brain_region_T133_macaque_f001_Mq179-20230428.nii.gz
16,outputs/padded//brain_region_T130_macaque_f001_Mq179-20230428.nii.gz,34.04,outputs/json//brain_region_T130_macaque_f001_Mq179-20230428.json,False,352,f001,L,1,synth,352,outputs/padded//brain_region_T130_macaque_f001_Mq179-20230428.nii.gz
17,outputs/padded//brain_region_T131_macaque_f001_Mq179-20230428.nii.gz,33.54,outputs/json//brain_region_T131_macaque_f001_Mq179-20230428.json,False,377,f001,L,1,synth,377,outputs/padded//brain_region_T131_macaque_f001_Mq179-20230428.nii.gz
18,outputs/padded//brain_region_T129_macaque_f001_Mq179-20230428.nii.gz,33.04,outputs/json//brain_region_T129_macaque_f001_Mq179-20230428.json,False,402,f001,L,1,synth,402,outputs/padded//brain_region_T129_macaque_f001_Mq179-20230428.nii.gz
19,outputs/padded//brain_region_T127_macaque_f001_Mq179-20230428.nii.gz,32.54,outputs/json//brain_region_T127_macaque_f001_Mq179-20230428.json,False,427,f001,L,1,synth,427,outputs/padded//brain_region_T127_macaque_f001_Mq179-20230428.nii.gz
20,outputs/padded//brain_region_T125_macaque_f001_Mq179-20230428.nii.gz,32.05,outputs/json//brain_region_T125_macaque_f001_Mq179-20230428.json,False,452,f001,L,1,synth,452,outputs/padded//brain_region_T125_macaque_f001_Mq179-20230428.nii.gz
